,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2257,Boogie Down Productions,The Bridge Is Over,5jkjpSsMOfsxgdGScPZVq2,0.822,0.447,0,-9.836,1,0.448,0.0173,0.0,0.0643,0.556,179.837,audio_features,spotify:track:5jkjpSsMOfsxgdGScPZVq2,https://api.spotify.com/v1/tracks/5jkjpSsMOfsxgdGScPZVq2,https://api.spotify.com/v1/audio-analysis/5jkjpSsMOfsxgdGScPZVq2,204602,4
2258,Bing Crosby & The Andrews Sisters,Don't Fence Me In,7kzZ2NzhoS2T3dCVpDtTaA,0.69,0.102,3,-19.479,1,0.0551,0.976,0.000264,0.143,0.438,96.85,audio_features,spotify:track:7kzZ2NzhoS2T3dCVpDtTaA,https://api.spotify.com/v1/tracks/7kzZ2NzhoS2T3dCVpDtTaA,https://api.spotify.com/v1/audio-analysis/7kzZ2NzhoS2T3dCVpDtTaA,182200,4
2259,Art of Noise,Moments in Love,2bsczk82MWGPmTbe6IWYsa,0.696,0.234,9,-14.991,1,0.112,0.28,0.0511,0.311,0.489,138.118,audio_features,spotify:track:2bsczk82MWGPmTbe6IWYsa,https://api.spotify.com/v1/tracks/2bsczk82MWGPmTbe6IWYsa,https://api.spotify.com/v1/audio-analysis/2bsczk82MWGPmTbe6IWYsa,615693,4
2260,Bow Wow Wow,I Want Candy,2FMcDUopGfjBh3xMsrm78S,0.688,0.639,7,-12.964,1,0.0648,0.0066,0.0596,0.0588,0.775,110.025,audio_features,spotify:track:2FMcDUopGfjBh3xMsrm78S,https://api.spotify.com/v1/tracks/2FMcDUopGfjBh3xMsrm78S,https://api.spotify.com/v1/audio-analysis/2FMcDUopGfjBh3xMsrm78S,164307,4
2261,Betty Everett,The Shoop Shoop Song (It's in His Kiss),3qoNRhQuqbAG4uXrPx2aSk,0.652,0.456,9,-9.673,1,0.0569,0.737,0.0,0.235,0.966,121.983,audio_features,spotify:track:3qoNRhQuqbAG4uXrPx2aSk,https://api.spotify.com/v1/tracks/3qoNRhQuqbAG4uXrPx2aSk,https://api.spotify.com/v1/audio-analysis/3qoNRhQuqbAG4uXrPx2aSk,136117,4
2262,Willie Nelson,On the Road Again,0vcJzE2LuNY9aoq2hdMjHZ,0.411,0.859,4,-7.382,1,0.085,0.0671,0.00201,0.958,0.36,112.228,audio_features,spotify:track:0vcJzE2LuNY9aoq2hdMjHZ,https://api.spotify.com/v1/tracks/0vcJzE2LuNY9aoq2hdMjHZ,https://api.spotify.com/v1/audio-analysis/0vcJzE2LuNY9aoq2hdMjHZ,156173,3
2263,Yazoo,Only You,3mGwufkovVPrzsJaXWg8PU,0.731,0.347,9,-16.691,1,0.0398,0.31,1.29e-05,0.0946,0.855,105.791,audio_features,spotify:track:3mGwufkovVPrzsJaXWg8PU,https://api.spotify.com/v1/tracks/3mGwufkovVPrzsJaXWg8PU,https://api.spotify.com/v1/audio-analysis/3mGwufkovVPrzsJaXWg8PU,195507,4
2264,Dimples D.,Sucker D.J.'s,3GdWz9M6RrwipY72BIdhMA,0.868,0.832,0,-9.08,1,0.136,0.038,0.00564,0.027,0.931,107.979,audio_features,spotify:track:3GdWz9M6RrwipY72BIdhMA,https://api.spotify.com/v1/tracks/3GdWz9M6RrwipY72BIdhMA,https://api.spotify.com/v1/audio-analysis/3GdWz9M6RrwipY72BIdhMA,301294,4
2265,Madness,House of Fun,4SactOQQV5J66VtQRVOBGC,0.744,0.924,7,-8.964,1,0.0478,0.234,0.0331,0.128,0.791,128.656,audio_features,spotify:track:4SactOQQV5J66VtQRVOBGC,https://api.spotify.com/v1/tracks/4SactOQQV5J66VtQRVOBGC,https://api.spotify.com/v1/audio-analysis/4SactOQQV5J66VtQRVOBGC,180067,4
2266,Sugababes,Push the Button,2nCmCt4B5vkabS0zeOuc1Z,0.962,0.662,8,-5.093,1,0.0578,0.0517,0.0,0.0799,0.801,126.007,audio_features,spotify:track:2nCmCt4B5vkabS0zeOuc1Z,https://api.spotify.com/v1/tracks/2nCmCt4B5vkabS0zeOuc1Z,https://api.spotify.com/v1/audio-analysis/2nCmCt4B5vkabS0zeOuc1Z,218093,4
2267,Bell Biv Devoe,Poison,6m59VvDUi0UQsB2eZ9wVbH,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,audio_features,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH,https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH,261853,4
